County,AccCount,Population
Collier,438,378488
Collin,914,1005146
Colonial Heights,71,17833
Colonial Heights City,6,17833
Colorado,8,21217
Colquitt,1,45592
Columbia,1247,487497
Columbiana,36,102665
Columbus,18,55655
Colusa,93,21627
Comal,72,148373
Comanche,14,135704
Concho,1,4276
Concordia,2,19572
Conecuh,31,12277
Conejos,1,8200
Contra Costa,5765,1150215
Converse,4,13640
Conway,9,20891
Cook,8668,5203048
Cooke,8,40574
Cooper,27,17603
Coos,414,95978
Coosa,7,10715
Copiah,31,28543
Cortland,20,47823
Coshocton,1,36629
Costilla,1,3828
Cotton,1,5776
Cottonwood,13,11277
Covington,21,5460
Coweta,183,145864
Cowlitz,127,108987
Craig,14,19370
Craighead,5,108558
Crane,3,4794
Craven,9,102912
Crawford,97,342028
Creek,44,71604
Crenshaw,1,13824
Crisp,16,22601
Crittenden,98,57257
Crockett,4,17827
Crook,101,31317
Crow Wing,31,64889
Crowley,3,5858
Culberson,3,2204
Cullman,121,83442
Culpeper,49,51859
Cumberland,942,1115231
Cuming,1,8940
Currituck,6,27072
Curry,200,72250
Custer,14,69422
Cuyahoga,2366,1243857
Dade,52,23795
Daggett,4,980
Dakota,1872,445506
Dale,14,48956
Dallam,2,7200
Dallas,17492,2790206
Dane,620,542364
Danville,3,40693
Danville City,2,40693
Dare,12,36501
Darke,22,51323
Darlington,559,66802
Dauphin,559,277097
Davidson,15601,859201
Davie,51,42733
Daviess,17,142564
Davis,1179,360730
Dawes,1,8716
Dawson,43,70091
De Soto,8,27436
Deaf Smith,1,18760
Dearborn,50,49568
Decatur,51,75836
Defiance,4,38165
DeKalb,3290,1008080
Del Norte,47,27828
Delaware,1636,988678
Delta,12,72159
Denton,802,859064
Denver,4291,716492
Des Moines,3,39138
Deschutes,853,191996
Desha,3,11512
DeSoto,134,219490
Deuel,4,6162
DeWitt,1,20187
Dickenson,7,14523
Dickey,1,4903
Dickinson,1,61253
Dickson,49,53446
Dillon,381,30599
Dimmit,1,10308
Dinwiddie,177,28529
District of Columbia,951,702455
Dixie,7,16700
Doddridge,7,8406
Dodge,49,166165
Dolores,2,2074
Doniphan,1,7682
Donley,4,3319
Dooly,43,13706
Do�a Ana,27,#N/A
Door,1,27610
Dorchester,1332,192645
Dougherty,46,91243
Douglas,6918,1495039
Drew,3,18328
Dubois,10,42565
Dubuque,12,96854
Duchesne,48,19964
Dukes,1,17352
Dunn,32,49463
DuPage,6596,928589
Duplin,7,58856
Durham,631,316739
Dutchess,1136,293718
Duval,7333,961393
Dyer,6,37320
Eagle,82,54993
Early,5,10247
East Baton Rouge,12513,440956
East Feliciana,4,19305
Eastland,4,18322
Eaton,162,109826
Eau Claire,35,104534
Ector,28,162124
Eddy,13,60213
Edgecombe,7,52005
Edgefield,143,27052
Effingham,36,96398
El Dorado,648,190678
El Paso,5996,1554614
Elbert,16,45402
Elk,26,32677
Elkhart,27,205560
Elko,190,52460
Ellis,146,212098
Ellsworth,4,6196
Elmore,118,109146
Emanuel,7,22612
Emery,61,10014
Emmet,3,42561
Emporia,23,5121
Erath,4,42446
Erie,1840,1266395
Escambia,1222,352282
Esmeralda,12,826
Essex,2906,1644874
Estill,1,14198
Etowah,25,102501
Eureka,26,2003
Evangeline,2,33443
Evans,5,10721
Fairfax,127,24574
Fairfax City,51,24574
Fairfax County,3375,1150795
Fairfield,2128,1122007
Falls,1,14772
Falls Church,5,14772
Falls Church City,2,14772
Fannin,3,61250
Faribault,24,13758
Faulkner,7,124806
Fauquier,185,70675
Fayette,1565,785776
Fentress,2,18217
Ferry,4,7649
Fillmore,24,26585
Fisher,1,3839
Flagler,107,112067
Flathead,12,102106
Florence,1436,142480
Floyd,179,248946
Fluvanna,9,26783
Fond du Lac,34,103066
Ford,1,47152
Forrest,286,75036
Forsyth,673,615711
Fort Bend,394,787858
Fountain,29,16351
Franklin,4225,8013
Franklin County,54,2296613
Frederick,1457,344003
Fredericksburg,80,29144
Fredericksburg City,2,29144
Freeborn,115,30444
Freestone,18,19808
Fremont,77,107713
Fresno,2229,994400
Frio,2,19816
Fulton,9708,1233829
Gadsden,244,45894
Gage,4,21493
Gaines,1,20901
Galax,1,6423
Galax City,1,6423
Gallatin,17,125766
Gallia,1,29979
Galveston,238,337890
Garfield,102,131265
Garland,7,99154
Garrard,1,17560
Garrett,21,29163
Garvin,8,27811
Garza,1,6578
Gasconade,1,14705
Gaston,266,222846
Geauga,162,94031
Genesee,7879,464403
Geneva,2,26314
George,8,24250
Georgetown,545,62249
Gibson,22,82497
Gila,121,53889
Gilchrist,7,18256
Giles,28,46347
Gillespie,5,26804
Gilliam,101,1894
Gilmer,24,38842
Gilpin,20,6121
Glacier,4,13747
Glades,21,13724
Gladwin,4,25337
