County,AccCount,Population
Summers,1,12760
Summit,1279,614858
Sumner,92,210145
Sumter,1148,277690
Surry,40,78422
Susquehanna,48,40589
Sussex,217,381322
Sutter,212,96807
Sutton,1,3758
Suwannee,232,44191
Swain,1,14245
Sweet Grass,1,3710
Sweetwater,24,43051
Swift,6,9345
Switzerland,2,10717
Talbot,30,43240
Taliaferro,11,1608
Talladega,59,79828
Tallapoosa,17,40497
Tama,4,16904
Taney,4,55852
Tangipahoa,88,133777
Tarrant,4121,2084931
Tate,19,28759
Tattnall,7,25391
Taylor,40,236316
Tazewell,812,173183
Tehama,182,63916
Telfair,4,15876
Teller,17,25083
Terrebonne,84,111021
Terrell,10,9434
Teton,10,40883
Texas,1,46026
Thayer,1,5039
Thomas,9,52879
Thurston,352,293722
Tift,35,40571
Tillamook,306,26787
Tioga,22,89323
Tippecanoe,36,193048
Tipton,16,76709
Tishomingo,1,19454
Titus,7,33033
Todd,36,47176
Tolland,198,150921
Tom Green,4,118189
Tompkins,20,102793
Tooele,284,69907
Toombs,10,26887
Torrance,16,15591
Towns,1,11852
Transylvania,4,34215
Travis,17590,1248743
Treasure,1,679
Trego,3,2793
Trempealeau,9,29442
Treutlen,18,6809
Trigg,3,14643
Trinity,91,27275
Troup,93,70034
Trousdale,3,11012
Trumbull,54,198627
Tulare,1014,465861
Tulsa,6627,648360
Tuolumne,272,54539
Turner,7,16336
Tuscaloosa,2161,208911
Tuscarawas,12,92176
Tuscola,5,52516
Twiggs,47,8188
Twin Falls,8,86081
Tyler,7,30442
Uinta,15,20299
Uintah,66,35438
Ulster,219,178599
Umatilla,599,77516
Unicoi,14,17761
Union,1866,1147306
Upshur,2,65675
Upson,15,26215
Upton,1,3671
Utah,1449,622213
Val Verde,1,49208
Valencia,5,76456
Valley,4,22668
Van Buren,84,104836
Van Wert,8,28281
Van Zandt,13,56019
Vance,30,44582
Vanderburgh,96,180974
Venango,18,51266
Ventura,1685,850967
Vermilion,15,76806
Vermillion,9,15479
Vernon,12,51313
Victoria,10,92035
Vigo,33,107386
Vilas,4,21938
Vinton,7,13139
Virginia Beach,568,450189
Virginia Beach City,3,450189
Volusia,834,547538
Wabash,11,42829
Wabasha,17,21645
Wadena,22,13773
Wagoner,56,80110
Wahkiakum,3,4426
Wake,22849,1092305
Wakulla,48,32461
Waldo,5,39694
Walker,50,205601
Walla Walla,2,60922
Waller,61,53126
Wallowa,45,7081
Walthall,2,14465
Walton,286,164878
Walworth,44,109305
Wapello,8,35205
Ward,4,79464
Ware,3,35680
Warren,1228,836156
Warrick,21,62567
Wasatch,229,33240
Wasco,396,26505
Waseca,16,18691
Washington,4777,2627472
Washoe,1556,465735
Washtenaw,444,370963
Watauga,2,55945
Watonwan,14,10980
Waukesha,384,403072
Waupaca,24,51128
Waushara,13,24263
Wayne,7121,2375408
Waynesboro,38,22628
Weakley,2,33415
Webb,8,275910
Weber,922,256359
Webster,32,112714
Weld,356,314305
Wells,1,32163
West Baton Rouge,183,26427
West Feliciana,2,15460
Westchester,4657,967612
Westmoreland,535,368441
Wetzel,1,15270
Wexford,5,33466
Wharton,4,41619
Whatcom,501,225685
Wheeler,58,15241
White,50,173602
White Pine,23,9475
Whiteside,5,55626
Whitfield,84,104062
Whitley,12,70316
Whitman,7,49791
Wichita,525,134169
Wicomico,67,103195
Wilbarger,2,12820
Wilcox,3,19439
Wilkes,30,78433
Wilkin,6,6254
Will,473,692310
Willacy,1,21515
Williams,17,72154
Williamsburg,232,14896
Williamson,1395,865504
Wilson,114,280969
Winchester,4,28108
Windham,164,159783
Windsor,26,55286
Winkler,2,7720
Winnebago,205,465619
Winona,56,50825
Winston,2,41825
Wise,25,106317
Wolfe,2,7177
Wood,160,333083
Woodbury,53,102539
Woodford,23,64996
Worcester,782,882662
Worth,25,29792
Wright,281,167417
Wyandot,5,21935
Wyandotte,715,165324
Wyoming,4,87917
Wythe,197,28754
Yadkin,33,37543
Yakima,22,251446
Yalobusha,6,12392
Yamhill,617,107002
Yates,2,24841
Yavapai,420,231993
Yazoo,10,28248
Yell,2,21535
Yellow Medicine,19,9795
Yellowstone,20,160137
Yoakum,4,8591
Yolo,803,220408
York,5127,1010238
Yuba,244,78041
Yuma,127,222148
Grand Total,892615,
